Dataset,Topology,Alpha,Agents,Accuracy,Precision,Recall,F1,Energy,PacketLossSimulated,PacketLossScenario,SourceFile,Approach
ton,FullyConnected,2,10,1,1,1,1,2.3,0.1,0.1,marl_xgb_FullyConnected_topology_ton_detection_metrics_2.0_normal_fuzzers_loss10.csv,MARL
ton,FullyConnected,2,9,0.9842061314565193,0.755608028335301,0.9790922998470168,0.8529542425588628,2.1,0.3,0.3,marl_xgb_FullyConnected_topology_ton_detection_metrics_2.0_normal_fuzzers_loss30.csv,MARL
ton,FullyConnected,2,10,0.9323392580221878,0.40721102863202546,0.9790922998470168,0.5751947273816657,2.3,0.5,0.5,marl_xgb_FullyConnected_topology_ton_detection_metrics_2.0_normal_fuzzers_loss50.csv,MARL
unsw,FullyConnected,0.1,4,1,1,1,1,1.1,0,0,marl_xgb_FullyConnected_topology_unsw_detection_metrics_0.1_normal_dos_reconnaissance_loss0.csv,MARL
unsw,FullyConnected,0.1,4,0.5584165077941011,0.14126504238544074,0.3141727092946605,0.19489654044328125,1.1,0.1,0.1,marl_xgb_FullyConnected_topology_unsw_detection_metrics_0.1_normal_dos_reconnaissance_loss10.csv,MARL
unsw,FullyConnected,0.1,4,0.5630144667489065,0.08543554006968641,0.16163480553724455,0.11178481878276728,1.1,0.3,0.3,marl_xgb_FullyConnected_topology_unsw_detection_metrics_0.1_normal_dos_reconnaissance_loss30.csv,MARL
unsw,FullyConnected,0.1,4,1,1,1,1,1.1,0.5,0.5,marl_xgb_FullyConnected_topology_unsw_detection_metrics_0.1_normal_dos_reconnaissance_loss50.csv,MARL
unsw,FullyConnected,0.1,3,1,1,1,1,0.9,0,0,marl_xgb_FullyConnected_topology_unsw_detection_metrics_0.1_normal_exploits_loss0.csv,MARL
unsw,FullyConnected,0.1,3,1,1,1,1,0.9,0.1,0.1,marl_xgb_FullyConnected_topology_unsw_detection_metrics_0.1_normal_exploits_loss10.csv,MARL
unsw,FullyConnected,0.1,3,1,1,1,1,0.9,0.3,0.3,marl_xgb_FullyConnected_topology_unsw_detection_metrics_0.1_normal_exploits_loss30.csv,MARL
unsw,FullyConnected,0.1,3,0.6296850328263941,0.34203569068076667,0.6508264462809917,0.44841245280683295,0.9,0.5,0.5,marl_xgb_FullyConnected_topology_unsw_detection_metrics_0.1_normal_exploits_loss50.csv,MARL
unsw,FullyConnected,0.3,10,1,1,1,1,2.3,0,0,marl_xgb_FullyConnected_topology_unsw_detection_metrics_0.3_normal_dos_reconnaissance_loss0.csv,MARL
unsw,FullyConnected,0.3,8,1,1,1,1,1.9,0.1,0.1,marl_xgb_FullyConnected_topology_unsw_detection_metrics_0.3_normal_dos_reconnaissance_loss10.csv,MARL
unsw,FullyConnected,0.3,9,0.9523158012784568,1,0.7197099538562953,0.8370131861392212,2.1,0.3,0.3,marl_xgb_FullyConnected_topology_unsw_detection_metrics_0.3_normal_dos_reconnaissance_loss30.csv,MARL
